Frame Nr., Compute, Primary Ray Trace, Cornell_Box_(9261_Probes)_-_Full_GI_-_96_Surfels_Per_Probe
0, 0, 0, 1
1, 0, 0, 1
2, 1.64368, 0, 1
3, 1.09773, 1.8432, 1
4, 0.944128, 1.70198, 1
5, 0.94256, 2.06643, 1
6, 0.94208, 2.06013, 1
7, 0.944128, 2.05619, 1
8, 0.941248, 2.05526, 1
9, 0.942272, 2.05488, 1
10, 0.943808, 1.69658, 1
11, 0.941952, 2.0601, 1
12, 0.94128, 2.05312, 1
13, 0.94208, 2.05386, 1
14, 0.944128, 2.0545, 1
15, 0.9408, 2.056, 1
16, 0.940608, 2.07834, 1
17, 0.942752, 2.05565, 1
18, 0.94208, 2.04982, 1
19, 0.944448, 2.06029, 1
20, 0.94368, 2.05664, 1
21, 0.943616, 2.06029, 1
22, 0.944, 2.05475, 1
23, 0.945472, 2.0759, 1
24, 0.94208, 2.05072, 1
25, 0.943328, 2.05056, 1
26, 0.943808, 2.0496, 1
27, 0.94384, 2.05206, 1
28, 0.941216, 2.05606, 1
29, 0.94208, 2.07258, 1
30, 0.942496, 2.04835, 1
31, 0.943328, 2.0521, 1
32, 0.942976, 2.04906, 1
33, 0.943648, 2.05005, 1
34, 0.943584, 2.05843, 1
35, 0.945376, 2.07859, 1
36, 0.945856, 2.05126, 1
37, 0.943488, 2.05424, 1
38, 0.942272, 2.04867, 1
39, 0.944128, 2.05619, 1
40, 0.944704, 2.05347, 1
41, 0.942048, 2.0712, 1
42, 0.94208, 2.0529, 1
43, 0.945248, 2.05507, 1
44, 0.944128, 2.05005, 1
45, 0.944128, 2.05462, 1
46, 0.943968, 2.05005, 1
47, 0.941664, 2.06867, 1
48, 0.9416, 2.05066, 1
49, 0.94352, 2.05994, 1
50, 0.942464, 2.05731, 1
51, 0.941792, 2.05424, 1
52, 0.944128, 2.04979, 1
53, 0.942464, 2.05462, 1
54, 0.941408, 2.07338, 1
55, 0.94208, 2.05245, 1
56, 0.940448, 2.05005, 1
57, 0.941856, 2.05398, 1
58, 0.9432, 2.05306, 1
59, 0.942144, 2.04816, 1
60, 0.94208, 2.05514, 1
61, 0.942368, 2.06848, 1
62, 0.942912, 2.04989, 1
63, 0.944352, 1.95398, 1
64, 0.944128, 1.9392, 1
65, 0.944128, 1.9335, 1
66, 0.941504, 1.89162, 1
67, 0.944128, 1.89299, 1
68, 0.941472, 1.89645, 1
69, 0.9432, 1.8944, 1
70, 0.941696, 1.89114, 1
71, 0.943872, 1.8944, 1
72, 0.943392, 1.89696, 1
73, 0.94208, 1.89811, 1
74, 0.941696, 1.8903, 1
75, 0.941216, 1.89274, 1
76, 0.940992, 1.89357, 1
77, 0.94208, 1.8903, 1
78, 0.942688, 1.88835, 1
79, 0.945664, 1.89754, 1
80, 0.94208, 1.89923, 1
81, 0.942016, 1.89235, 1
82, 0.94208, 1.89354, 1
83, 0.942688, 1.89152, 1
84, 0.94336, 1.8919, 1
85, 0.94176, 1.88886, 1
86, 0.942272, 1.89056, 1
87, 0.941728, 1.8944, 1
88, 0.94032, 1.89235, 1
89, 0.941344, 1.89091, 1
90, 0.939808, 1.88902, 1
