Frame Nr., Compute, Primary Ray Trace, Cornell_Box_(9261_Probes)_-_Full_GI_-_96_Surfels_Per_Probe
0, 0, 0, 1
1, 0, 0, 1
2, 1.81011, 0, 1
3, 1.09437, 2.13056, 1
4, 0.939776, 2.10771, 1
5, 0.94208, 1.84419, 1
6, 0.944128, 1.84266, 1
7, 0.941248, 1.84774, 1
8, 0.944128, 1.84784, 1
9, 0.942272, 1.83706, 1
10, 0.942144, 1.84, 1
11, 0.946176, 1.84294, 1
12, 0.941248, 2.05261, 1
13, 0.94208, 2.05283, 1
14, 0.943168, 2.05382, 1
15, 0.943168, 2.05018, 1
16, 0.94288, 2.08352, 1
17, 0.941984, 2.05587, 1
18, 0.945312, 2.05306, 1
19, 0.946176, 2.0649, 1
20, 0.940032, 2.05565, 1
21, 0.943296, 2.05162, 1
22, 0.945408, 2.06848, 1
23, 0.943968, 2.05005, 1
24, 0.941952, 2.05229, 1
25, 0.941728, 2.0536, 1
26, 0.94208, 2.05024, 1
27, 0.944032, 2.05891, 1
28, 0.944, 2.07014, 1
29, 0.94096, 2.048, 1
30, 0.942368, 2.0496, 1
31, 0.941664, 2.05725, 1
32, 0.942176, 2.04595, 1
33, 0.942912, 2.0521, 1
34, 0.945856, 2.05648, 1
35, 0.944832, 2.08896, 1
36, 0.94608, 2.05821, 1
37, 0.944096, 2.05414, 1
38, 0.940512, 2.04595, 1
39, 0.943488, 2.0521, 1
40, 0.94208, 2.05034, 1
41, 0.944064, 2.07248, 1
42, 0.944128, 2.05005, 1
43, 0.942336, 2.05805, 1
44, 0.941184, 2.05296, 1
45, 0.94384, 2.0521, 1
46, 0.94288, 2.0521, 1
47, 0.943584, 2.0743, 1
48, 0.943008, 2.04845, 1
49, 0.943584, 2.06026, 1
50, 0.941376, 2.05875, 1
51, 0.94208, 2.05197, 1
52, 0.943712, 2.04714, 1
53, 0.942208, 2.05414, 1
54, 0.94208, 2.07018, 1
55, 0.940352, 2.05747, 1
56, 0.941952, 2.04954, 1
57, 0.94208, 2.05008, 1
58, 0.942336, 2.0543, 1
59, 0.941696, 2.05414, 1
60, 0.9424, 2.07142, 1
61, 0.943488, 2.04774, 1
62, 0.939936, 2.0521, 1
63, 0.940032, 2.05414, 1
64, 0.94384, 1.95373, 1
65, 0.94176, 1.9368, 1
66, 0.941056, 1.92717, 1
67, 0.94208, 1.89248, 1
68, 0.94208, 1.88838, 1
69, 0.942368, 1.89293, 1
70, 0.943648, 1.89638, 1
71, 0.941952, 1.89779, 1
72, 0.94208, 1.8903, 1
73, 0.94208, 1.90016, 1
74, 0.94288, 1.89859, 1
75, 0.941152, 1.8928, 1
76, 0.941632, 1.89059, 1
77, 0.940832, 1.89235, 1
78, 0.940864, 1.8903, 1
79, 0.94208, 1.89654, 1
80, 0.940416, 1.90102, 1
81, 0.942176, 1.89402, 1
82, 0.940928, 1.89075, 1
83, 0.940128, 1.88912, 1
84, 0.940032, 1.89037, 1
85, 0.941824, 1.8944, 1
86, 0.944352, 1.88826, 1
87, 0.940704, 1.89302, 1
88, 0.941536, 1.88861, 1
89, 0.940768, 1.88986, 1
90, 0.941952, 1.892, 1
