Frame Nr., Compute, Primary Ray Trace, Cornell_Box_(9261_Probes)_-_GI_Off
0, 0, 0, 1
1, 0, 0, 1
2, 0, 0, 1
3, 0, 1.87792, 1
4, 0, 2.00608, 1
5, 0, 1.69514, 1
6, 0, 2.04941, 1
7, 0, 2.04186, 1
8, 0, 2.04707, 1
9, 0, 2.03814, 1
10, 0, 2.04208, 1
11, 0, 2.07117, 1
12, 0, 2.05683, 1
13, 0, 2.0624, 1
14, 0, 2.05738, 1
15, 0, 2.04838, 1
16, 0, 2.04298, 1
17, 0, 2.06323, 1
18, 0, 2.04378, 1
19, 0, 2.0416, 1
20, 0, 2.04186, 1
21, 0, 2.04605, 1
22, 0, 2.04806, 1
23, 0, 2.06662, 1
24, 0, 2.04022, 1
25, 0, 2.03571, 1
26, 0, 2.03805, 1
27, 0, 2.04224, 1
28, 0, 2.03766, 1
29, 0, 2.06214, 1
30, 0, 2.03923, 1
31, 0, 2.04035, 1
32, 0, 2.03882, 1
33, 0, 2.04589, 1
34, 0, 2.03616, 1
35, 0, 2.06234, 1
36, 0, 2.04176, 1
37, 0, 2.03619, 1
38, 0, 2.03869, 1
39, 0, 2.04669, 1
40, 0, 2.03981, 1
41, 0, 2.06848, 1
42, 0, 2.04134, 1
43, 0, 2.04326, 1
44, 0, 2.03811, 1
45, 0, 2.04067, 1
46, 0, 2.03981, 1
47, 0, 2.06035, 1
48, 0, 2.04362, 1
49, 0, 2.04237, 1
50, 0, 2.04496, 1
51, 0, 2.04102, 1
52, 0, 2.04186, 1
53, 0, 1.96266, 1
54, 0, 1.92288, 1
55, 0, 1.91907, 1
56, 0, 1.87802, 1
57, 0, 1.87802, 1
58, 0, 1.88006, 1
59, 0, 1.88621, 1
60, 0, 1.88211, 1
61, 0, 1.88336, 1
62, 0, 1.88717, 1
63, 0, 1.88621, 1
64, 0, 1.88006, 1
65, 0, 1.88173, 1
66, 0, 1.87968, 1
67, 0, 1.88128, 1
68, 0, 1.88019, 1
69, 0, 1.87802, 1
70, 0, 1.87853, 1
71, 0, 1.88611, 1
72, 0, 1.87802, 1
73, 0, 1.88854, 1
74, 0, 1.88006, 1
75, 0, 1.88246, 1
76, 0, 1.87818, 1
77, 0, 1.88269, 1
78, 0, 1.87965, 1
79, 0, 1.87856, 1
80, 0, 1.88237, 1
81, 0, 1.87597, 1
82, 0, 1.88038, 1
83, 0, 1.8856, 1
84, 0, 1.87392, 1
85, 0, 1.87718, 1
86, 0, 1.87802, 1
87, 0, 1.88224, 1
88, 0, 1.87597, 1
89, 0, 1.88035, 1
90, 0, 1.87779, 1
91, 0, 1.88602, 1
92, 0, 1.87786, 1
93, 0, 1.88006, 1
94, 0, 1.876, 1
95, 0, 1.88246, 1
96, 0, 1.87802, 1
97, 0, 1.88416, 1
98, 0, 1.87862, 1
99, 0, 1.88064, 1
100, 0, 1.88006, 1
101, 0, 1.87773, 1
102, 0, 1.87795, 1
103, 0, 1.88042, 1
104, 0, 1.87536, 1
105, 0, 1.87837, 1
106, 0, 1.87923, 1
107, 0, 1.88304, 1
108, 0, 1.8785, 1
109, 0, 1.87677, 1
110, 0, 1.88272, 1
