Frame Nr., Compute, Primary Ray Trace, Cornell_Box_(9261_Probes)_-_GI_Off
0, 0, 0, 1
1, 0, 0, 1
2, 0, 1.68934, 1
3, 0, 1.68934, 1
4, 0, 2.0457, 1
5, 0, 2.05523, 1
6, 0, 1.84483, 1
7, 0, 2.04253, 1
8, 0, 2.0439, 1
9, 0, 2.04186, 1
10, 0, 2.04186, 1
11, 0, 2.03818, 1
12, 0, 2.06477, 1
13, 0, 2.04067, 1
14, 0, 2.04803, 1
15, 0, 2.03824, 1
16, 0, 2.03958, 1
17, 0, 2.04224, 1
18, 0, 2.04128, 1
19, 0, 2.06237, 1
20, 0, 2.04595, 1
21, 0, 2.0441, 1
22, 0, 2.04461, 1
23, 0, 2.04442, 1
24, 0, 2.04186, 1
25, 0, 2.07274, 1
26, 0, 2.05446, 1
27, 0, 2.05795, 1
28, 0, 2.05805, 1
29, 0, 2.05283, 1
30, 0, 2.04416, 1
31, 0, 2.0663, 1
32, 0, 2.03782, 1
33, 0, 2.03971, 1
34, 0, 2.04186, 1
35, 0, 2.03885, 1
36, 0, 2.03789, 1
37, 0, 2.06083, 1
38, 0, 2.03837, 1
39, 0, 2.04237, 1
40, 0, 2.03706, 1
41, 0, 2.0417, 1
42, 0, 2.03824, 1
43, 0, 2.06029, 1
44, 0, 2.03629, 1
45, 0, 2.03968, 1
46, 0, 2.0439, 1
47, 0, 2.03981, 1
48, 0, 2.03776, 1
49, 0, 2.06342, 1
50, 0, 2.03779, 1
51, 0, 2.04147, 1
52, 0, 2.04038, 1
53, 0, 2.0392, 1
54, 0, 2.04362, 1
55, 0, 2.06176, 1
56, 0, 2.04166, 1
57, 0, 2.03821, 1
58, 0, 2.0369, 1
59, 0, 2.03981, 1
60, 0, 1.94154, 1
61, 0, 1.92307, 1
62, 0, 1.91507, 1
63, 0, 1.87802, 1
64, 0, 1.87862, 1
65, 0, 1.87866, 1
66, 0, 1.89098, 1
67, 0, 1.88256, 1
68, 0, 1.87965, 1
69, 0, 1.88531, 1
70, 0, 1.88051, 1
71, 0, 1.8808, 1
72, 0, 1.83085, 1
73, 0, 1.88083, 1
74, 0, 1.88067, 1
75, 0, 1.88246, 1
76, 0, 1.88211, 1
77, 0, 1.87907, 1
78, 0, 1.88006, 1
79, 0, 1.87878, 1
80, 0, 1.88042, 1
81, 0, 1.87568, 1
82, 0, 1.87981, 1
83, 0, 1.87651, 1
84, 0, 1.88006, 1
85, 0, 1.87802, 1
86, 0, 1.88314, 1
87, 0, 1.87955, 1
88, 0, 1.87613, 1
89, 0, 1.87597, 1
90, 0, 1.88019, 1
91, 0, 1.87722, 1
92, 0, 1.88262, 1
93, 0, 1.87645, 1
94, 0, 1.87827, 1
95, 0, 1.87434, 1
96, 0, 1.87491, 1
97, 0, 1.87597, 1
98, 0, 1.87821, 1
99, 0, 1.87802, 1
100, 0, 1.87635, 1
101, 0, 1.87853, 1
102, 0, 1.88022, 1
103, 0, 1.88211, 1
104, 0, 1.87597, 1
105, 0, 1.8784, 1
106, 0, 1.87802, 1
107, 0, 1.87645, 1
108, 0, 1.88128, 1
109, 0, 1.87904, 1
110, 0, 1.8753, 1
