Frame Nr., Compute, Primary Ray Trace, Cornell_Box_(9261_Probes)_-_No_Surfels_-_64_Rays_Per_Probe
0, 0, 0, 1
1, 0, 0, 1
2, 5.59718, 0, 1
3, 5.24099, 1.84326, 1
4, 5.39754, 1.69779, 1
5, 5.39766, 1.8455, 1
6, 5.05949, 1.84586, 1
7, 5.53958, 1.84064, 1
8, 5.41651, 1.85139, 1
9, 5.50672, 1.70339, 1
10, 5.50707, 1.84752, 1
11, 5.45146, 1.85139, 1
12, 5.51005, 1.84611, 1
13, 5.47229, 1.84346, 1
14, 5.51629, 1.84557, 1
15, 5.52093, 1.8455, 1
16, 5.46413, 1.84525, 1
17, 5.47651, 1.84525, 1
18, 5.50093, 1.84326, 1
19, 5.49283, 1.84525, 1
20, 5.49082, 1.84461, 1
21, 5.48074, 1.84384, 1
22, 5.50502, 1.84102, 1
23, 5.48515, 1.84419, 1
24, 5.47011, 1.83958, 1
25, 5.47226, 1.84301, 1
26, 5.4887, 1.83939, 1
27, 5.48496, 1.84102, 1
28, 5.4743, 1.84301, 1
29, 5.46202, 1.84093, 1
30, 5.49293, 1.83706, 1
31, 5.43597, 1.83661, 1
32, 5.46611, 1.83878, 1
33, 5.47178, 1.83878, 1
34, 5.51667, 1.84323, 1
35, 5.45971, 1.8473, 1
36, 5.45645, 1.84013, 1
37, 5.43811, 1.84115, 1
38, 5.4111, 1.84214, 1
39, 5.32685, 1.83907, 1
40, 5.34538, 1.8433, 1
41, 5.30115, 1.8391, 1
42, 5.33014, 1.83888, 1
43, 5.51299, 1.84118, 1
44, 5.36102, 1.83818, 1
45, 5.33494, 1.83939, 1
46, 5.52854, 1.84144, 1
47, 5.3167, 1.83936, 1
48, 5.36195, 1.84083, 1
49, 5.37462, 1.84038, 1
50, 5.50944, 1.8433, 1
51, 5.50707, 1.8391, 1
52, 5.51101, 1.8376, 1
53, 5.5144, 1.8376, 1
54, 5.30029, 1.83706, 1
55, 5.50294, 1.8391, 1
56, 5.51648, 1.83408, 1
57, 5.33856, 1.84112, 1
58, 5.51091, 1.83706, 1
59, 5.28035, 1.83683, 1
60, 5.52733, 1.84115, 1
61, 5.35302, 1.83882, 1
62, 5.35578, 1.83677, 1
63, 5.31046, 1.83987, 1
64, 5.5248, 1.84477, 1
65, 5.32659, 1.83942, 1
66, 5.50605, 1.83664, 1
67, 5.31437, 1.83728, 1
68, 5.28778, 1.83872, 1
69, 5.31629, 1.8391, 1
70, 5.51936, 1.83917, 1
71, 5.35789, 1.836, 1
72, 5.34474, 1.83715, 1
73, 5.49683, 1.83872, 1
74, 5.53418, 1.83446, 1
75, 5.35606, 1.8391, 1
76, 5.51299, 1.83706, 1
77, 5.33709, 1.8391, 1
78, 5.51242, 1.83706, 1
79, 5.34355, 1.84118, 1
80, 5.34906, 1.8432, 1
81, 5.53018, 1.83552, 1
82, 5.30637, 1.83699, 1
83, 5.31786, 1.83904, 1
84, 5.29706, 1.8393, 1
85, 5.32214, 1.83706, 1
86, 5.52947, 1.83949, 1
87, 5.50707, 1.8385, 1
88, 5.34541, 1.8391, 1
89, 5.34554, 1.83638, 1
90, 5.49197, 1.68637, 1
