Frame Nr., Compute, Primary Ray Trace, Room_With_Door_(5292_Probes)_-_Full_GI_-_96_Surfels_Per_Probe
0, 0, 0, 1
1, 0, 0, 1
2, 1.40227, 0, 1
3, 0.636928, 4.21683, 1
4, 0.635424, 4.53222, 1
5, 0.638976, 4.41789, 1
6, 0.637728, 4.52976, 1
7, 0.637344, 4.5129, 1
8, 0.634016, 4.51994, 1
9, 0.635808, 4.5151, 1
10, 0.638976, 4.32128, 1
11, 0.636928, 4.06714, 1
12, 0.633952, 4.2785, 1
13, 0.633408, 4.28026, 1
14, 0.632832, 4.05667, 1
15, 0.636928, 4.3049, 1
16, 0.637888, 4.2823, 1
17, 0.63184, 4.07309, 1
18, 0.637696, 4.28502, 1
19, 0.636576, 4.29056, 1
20, 0.627616, 4.06323, 1
21, 0.63488, 4.29312, 1
22, 0.63424, 4.2455, 1
23, 0.628736, 4.03053, 1
24, 0.634112, 4.24099, 1
25, 0.631776, 4.26006, 1
26, 0.62672, 4.02355, 1
27, 0.63488, 4.24659, 1
28, 0.633728, 4.25779, 1
29, 0.623232, 4.02464, 1
30, 0.63504, 4.26598, 1
31, 0.63328, 4.2496, 1
32, 0.626496, 4.03539, 1
33, 0.635296, 4.24784, 1
34, 0.634784, 4.26867, 1
35, 0.63488, 4.26189, 1
36, 0.6376, 4.02432, 1
37, 0.579008, 3.3688, 1
38, 0.571392, 3.17648, 1
39, 0.573184, 3.17235, 1
40, 0.582048, 3.17235, 1
41, 0.581536, 3.1687, 1
42, 0.579488, 3.16902, 1
43, 0.574464, 3.1737, 1
44, 0.573568, 3.17373, 1
45, 0.582176, 3.17718, 1
46, 0.579584, 3.18355, 1
47, 0.571392, 3.2705, 1
48, 0.574944, 3.1785, 1
49, 0.580544, 3.18422, 1
50, 0.579584, 3.17267, 1
51, 0.571456, 3.1688, 1
52, 0.576128, 3.18579, 1
53, 0.57344, 3.17626, 1
54, 0.581632, 3.1816, 1
55, 0.576992, 3.17645, 1
56, 0.569632, 3.17434, 1
57, 0.579584, 3.1735, 1
58, 0.58112, 3.17456, 1
59, 0.582016, 3.1825, 1
60, 0.576896, 3.16826, 1
61, 0.580224, 3.16656, 1
62, 0.582304, 3.16192, 1
63, 0.57136, 3.20717, 1
64, 0.580768, 3.16838, 1
65, 0.574592, 3.16781, 1
66, 0.571392, 3.16563, 1
67, 0.569856, 3.1616, 1
68, 0.571808, 3.17178, 1
69, 0.569024, 3.16502, 1
70, 0.581632, 3.16342, 1
71, 0.577472, 3.16237, 1
72, 0.577216, 3.16787, 1
73, 0.581632, 3.16576, 1
74, 0.577536, 3.16816, 1
75, 0.57984, 3.16234, 1
76, 0.579584, 3.16211, 1
77, 0.571392, 3.1744, 1
78, 0.578976, 3.172, 1
79, 0.581632, 3.16957, 1
80, 0.579584, 3.16851, 1
81, 0.580768, 3.16154, 1
82, 0.578144, 3.16022, 1
83, 0.578784, 3.16211, 1
84, 0.57344, 3.1615, 1
85, 0.577984, 3.16211, 1
86, 0.57488, 3.1649, 1
87, 0.581312, 3.15597, 1
88, 0.579584, 3.16563, 1
89, 0.57792, 3.16557, 1
90, 0.577536, 3.16669, 1
