Frame Nr., Compute, Primary Ray Trace, Room_With_Door_(5292_Probes)_-_Full_GI_-_96_Surfels_Per_Probe
0, 0, 0, 1
1, 0, 0, 1
2, 0.965568, 3.01869, 1
3, 0.581632, 3.01869, 1
4, 0.577664, 3.08019, 1
5, 0.804992, 10.25, 1
6, 4.01206, 15.0405, 1
7, 1.18227, 6.0928, 1
8, 4.00384, 13.4706, 1
9, 4.01206, 16.3881, 1
10, 4.01667, 12.3557, 1
11, 3.74317, 16.218, 1
12, 3.68403, 13.4513, 1
13, 0.824672, 12.4859, 1
14, 0.82112, 6.19274, 1
15, 0.82304, 6.18522, 1
16, 0.825568, 6.00269, 1
17, 0.827456, 5.89402, 1
18, 0.82048, 5.89642, 1
19, 0.825536, 5.9023, 1
20, 0.82064, 6.18928, 1
21, 0.819232, 5.98426, 1
22, 0.815104, 5.90438, 1
23, 0.821248, 5.93306, 1
24, 0.815104, 5.89651, 1
25, 0.823296, 5.92691, 1
26, 0.82368, 6.14544, 1
27, 0.823296, 5.94771, 1
28, 0.815968, 5.89824, 1
29, 0.62608, 5.97606, 1
30, 0.584576, 3.52515, 1
31, 0.586304, 3.32058, 1
32, 0.586304, 3.40867, 1
33, 0.585728, 3.32998, 1
34, 0.583808, 3.33174, 1
35, 0.583904, 3.32864, 1
36, 0.58672, 3.32429, 1
37, 0.588448, 3.31776, 1
38, 0.58368, 3.32595, 1
39, 0.585248, 3.32016, 1
40, 0.585312, 3.31635, 1
41, 0.585728, 3.32317, 1
42, 0.585728, 3.37498, 1
43, 0.585056, 3.32454, 1
44, 0.585728, 3.32477, 1
45, 0.587392, 3.31776, 1
46, 0.58368, 3.32186, 1
47, 0.585312, 3.39178, 1
48, 0.585728, 3.32384, 1
49, 0.584672, 3.34275, 1
50, 0.583904, 3.32902, 1
51, 0.58368, 3.31802, 1
52, 0.58368, 3.30957, 1
53, 0.585184, 3.30397, 1
54, 0.58368, 3.30576, 1
55, 0.582304, 3.3063, 1
56, 0.585728, 3.328, 1
57, 0.584128, 3.30752, 1
58, 0.583808, 3.31542, 1
59, 0.584992, 3.31162, 1
60, 0.584288, 3.30611, 1
61, 0.585728, 3.35709, 1
62, 0.582336, 3.36198, 1
63, 0.585728, 3.31392, 1
64, 0.585728, 3.31354, 1
65, 0.587104, 3.36579, 1
66, 0.586048, 3.31162, 1
67, 0.581632, 3.3112, 1
68, 0.58032, 3.30669, 1
69, 0.585472, 3.32218, 1
70, 0.584736, 3.30966, 1
71, 0.579872, 3.31818, 1
72, 0.571744, 3.19341, 1
73, 0.571904, 3.16995, 1
74, 0.572576, 3.17232, 1
75, 0.574944, 3.22656, 1
76, 0.572, 3.16662, 1
77, 0.573568, 3.17309, 1
78, 0.572, 3.17773, 1
79, 0.571392, 3.18419, 1
80, 0.575488, 3.18275, 1
81, 0.57344, 3.18259, 1
82, 0.573536, 3.16826, 1
83, 0.568832, 3.17565, 1
84, 0.577312, 3.18688, 1
85, 0.580928, 3.16826, 1
86, 0.573248, 3.17386, 1
87, 0.576064, 3.18067, 1
88, 0.583456, 3.16806, 1
89, 0.577824, 3.17002, 1
90, 0.572224, 3.1728, 1
