Frame Nr., Compute, Primary Ray Trace, Room_With_Door_(5292_Probes)_-_GI_Off
0, 0, 0, 1
1, 0, 0, 1
2, 0, 0, 1
3, 0, 2.70794, 1
4, 0, 3.01261, 1
5, 0, 3.25341, 1
6, 0, 3.22173, 1
7, 0, 3.21795, 1
8, 0, 3.2256, 1
9, 0, 3.21699, 1
10, 0, 3.24198, 1
11, 0, 3.22797, 1
12, 0, 3.21946, 1
13, 0, 3.21741, 1
14, 0, 3.21834, 1
15, 0, 3.21741, 1
16, 0, 3.23808, 1
17, 0, 3.21546, 1
18, 0, 3.2169, 1
19, 0, 3.21946, 1
20, 0, 3.23344, 1
21, 0, 3.21126, 1
22, 0, 3.21741, 1
23, 0, 3.23965, 1
24, 0, 3.20938, 1
25, 0, 3.20746, 1
26, 0, 3.21088, 1
27, 0, 3.21456, 1
28, 0, 3.21971, 1
29, 0, 3.24608, 1
30, 0, 3.22208, 1
31, 0, 3.2105, 1
32, 0, 3.20339, 1
33, 0, 3.21126, 1
34, 0, 3.22496, 1
35, 0, 3.22192, 1
36, 0, 3.20512, 1
37, 0, 3.22848, 1
38, 0, 3.21946, 1
39, 0, 3.20538, 1
40, 0, 3.21536, 1
41, 0, 3.22496, 1
42, 0, 3.20512, 1
43, 0, 3.21331, 1
44, 0, 3.20282, 1
45, 0, 3.21126, 1
46, 0, 3.21562, 1
47, 0, 3.22733, 1
48, 0, 3.21642, 1
49, 0, 3.20307, 1
50, 0, 3.11091, 1
51, 0, 3.0904, 1
52, 0, 3.08787, 1
53, 0, 3.04566, 1
54, 0, 3.04403, 1
55, 0, 3.04547, 1
56, 0, 3.05357, 1
57, 0, 3.0497, 1
58, 0, 3.04698, 1
59, 0, 3.04723, 1
60, 0, 3.05597, 1
61, 0, 3.04733, 1
62, 0, 3.04339, 1
63, 0, 3.052, 1
64, 0, 3.04173, 1
65, 0, 3.04947, 1
66, 0, 3.05149, 1
67, 0, 3.04128, 1
68, 0, 3.05315, 1
69, 0, 3.04966, 1
70, 0, 3.04128, 1
71, 0, 3.04384, 1
72, 0, 3.04742, 1
73, 0, 3.04662, 1
74, 0, 3.05069, 1
75, 0, 3.03898, 1
76, 0, 3.0495, 1
77, 0, 3.04128, 1
78, 0, 3.04333, 1
79, 0, 3.04333, 1
80, 0, 3.04371, 1
81, 0, 3.04211, 1
82, 0, 3.04742, 1
83, 0, 3.04333, 1
84, 0, 3.04922, 1
85, 0, 3.04982, 1
86, 0, 3.04464, 1
87, 0, 3.04742, 1
88, 0, 3.04461, 1
89, 0, 3.04547, 1
90, 0, 3.05021, 1
91, 0, 3.05581, 1
92, 0, 3.04515, 1
93, 0, 3.04698, 1
94, 0, 3.04931, 1
95, 0, 3.04589, 1
96, 0, 3.04333, 1
97, 0, 3.04333, 1
98, 0, 3.04493, 1
99, 0, 3.04387, 1
100, 0, 3.04115, 1
101, 0, 3.04227, 1
102, 0, 3.04538, 1
103, 0, 3.04813, 1
104, 0, 3.03814, 1
105, 0, 3.04422, 1
106, 0, 3.04058, 1
107, 0, 3.04259, 1
108, 0, 3.04189, 1
109, 0, 3.04426, 1
110, 0, 3.04781, 1
