Frame Nr., Compute, Primary Ray Trace, Room_With_Door_(5292_Probes)_-_No_Surfels_-_64_Rays_Per_Probe
0, 0, 0, 1
1, 0, 0, 1
2, 2.78003, 0, 1
3, 2.62102, 3.46144, 1
4, 2.79824, 3.46733, 1
5, 3.04448, 3.19549, 1
6, 3.01872, 3.46458, 1
7, 2.71155, 3.46112, 1
8, 3.00019, 3.24288, 1
9, 2.96381, 3.38832, 1
10, 2.9984, 3.37414, 1
11, 3.0065, 3.37648, 1
12, 2.98563, 3.38902, 1
13, 2.99811, 3.37965, 1
14, 2.98598, 3.3792, 1
15, 3.0247, 3.37331, 1
16, 3.13549, 3.37955, 1
17, 3.11501, 3.46522, 1
18, 2.99866, 3.4641, 1
19, 3.21651, 3.38125, 1
20, 3.1888, 3.36682, 1
21, 2.98394, 3.46339, 1
22, 2.96691, 3.3672, 1
23, 3.0159, 3.37101, 1
24, 2.96499, 3.37306, 1
25, 2.98598, 3.36899, 1
26, 2.98115, 3.3665, 1
27, 3.03104, 3.37066, 1
28, 3.10998, 3.3711, 1
29, 2.97789, 3.45293, 1
30, 2.97443, 3.37331, 1
31, 3.19078, 3.37101, 1
32, 2.98989, 3.36896, 1
33, 3.00026, 3.36253, 1
34, 3.09642, 3.37101, 1
35, 3.21718, 3.37062, 1
36, 2.98755, 3.36227, 1
37, 2.98746, 3.35946, 1
38, 3.00726, 3.36208, 1
39, 3.21501, 3.3584, 1
40, 3.0049, 3.36163, 1
41, 2.99827, 3.36906, 1
42, 2.85808, 3.36691, 1
43, 2.75478, 3.3649, 1
44, 2.82419, 3.36659, 1
45, 2.94298, 3.36486, 1
46, 2.87754, 3.36896, 1
47, 2.8025, 3.21837, 1
48, 3.07405, 3.36582, 1
49, 2.94746, 3.17526, 1
50, 2.89357, 3.36614, 1
51, 3.00893, 3.3792, 1
52, 3.08634, 3.3792, 1
53, 3.0753, 3.16848, 1
54, 2.99632, 3.17213, 1
55, 3.09952, 3.35738, 1
56, 3.05971, 3.16467, 1
57, 3.09024, 3.17142, 1
58, 3.08157, 3.17526, 1
59, 3.0679, 3.16624, 1
60, 3.04531, 3.16995, 1
61, 2.81805, 3.372, 1
62, 3.08403, 3.35978, 1
63, 2.95379, 3.16416, 1
64, 2.88339, 3.36896, 1
65, 2.82829, 3.36496, 1
66, 2.98387, 3.37104, 1
67, 2.80045, 3.36042, 1
68, 2.85459, 3.36173, 1
69, 3.08838, 3.36077, 1
70, 3.06672, 3.17062, 1
71, 3.06125, 3.16186, 1
72, 3.07418, 3.16605, 1
73, 3.08429, 3.16621, 1
74, 2.76016, 3.16416, 1
75, 3.00861, 3.36218, 1
76, 3.06755, 3.35974, 1
77, 2.94326, 3.16589, 1
78, 2.94419, 3.36454, 1
79, 3.01827, 3.37805, 1
80, 3.08224, 3.37232, 1
81, 2.84058, 3.16973, 1
82, 2.80781, 3.37155, 1
83, 2.82214, 3.36621, 1
84, 2.80723, 3.36486, 1
85, 2.81114, 3.36746, 1
86, 2.82419, 3.37117, 1
87, 2.74058, 3.37101, 1
88, 2.95005, 3.1703, 1
89, 2.82829, 3.45405, 1
90, 2.94445, 3.36419, 1
