Frame Nr., Compute, Primary Ray Trace, Room_With_Door_(5292_Probes)_-_No_Surfels_-_64_Rays_Per_Probe
0, 0, 0, 1
1, 0, 0, 1
2, 2.63971, 0, 1
3, 3.08483, 3.25427, 1
4, 2.81165, 3.02288, 1
5, 3.29523, 3.48246, 1
6, 3.01942, 3.38637, 1
7, 3.1457, 3.38387, 1
8, 2.99418, 3.38906, 1
9, 2.74755, 3.38371, 1
10, 2.98627, 3.38496, 1
11, 2.96227, 3.37786, 1
12, 2.99622, 3.37923, 1
13, 2.99213, 3.3792, 1
14, 2.98266, 3.38403, 1
15, 2.97984, 3.37936, 1
16, 3.09008, 3.3751, 1
17, 3.19242, 3.38291, 1
18, 2.9857, 3.37402, 1
19, 3.19126, 3.37296, 1
20, 2.94118, 3.36896, 1
21, 3.18403, 3.38038, 1
22, 3.01466, 3.36912, 1
23, 3.11923, 3.3648, 1
24, 3.18502, 3.36723, 1
25, 3.01405, 3.36659, 1
26, 2.98803, 3.36691, 1
27, 2.97347, 3.37002, 1
28, 3.17206, 3.36688, 1
29, 2.99008, 3.36534, 1
30, 2.99872, 3.36525, 1
31, 3.11296, 3.37306, 1
32, 2.87366, 3.37197, 1
33, 2.9737, 3.36118, 1
34, 3.1249, 3.37078, 1
35, 3.17027, 3.36362, 1
36, 2.98022, 3.36346, 1
37, 3.19693, 3.36723, 1
38, 3.18874, 3.36282, 1
39, 3.06998, 3.35872, 1
40, 2.84518, 3.36925, 1
41, 3.12563, 3.36915, 1
42, 2.80166, 3.1624, 1
43, 3.0167, 3.36262, 1
44, 3.0679, 3.3617, 1
45, 3.07773, 3.16582, 1
46, 2.8201, 3.16826, 1
47, 3.06605, 3.36349, 1
48, 2.75139, 3.16787, 1
49, 2.80109, 3.3815, 1
50, 2.83747, 3.36339, 1
51, 2.75251, 3.36486, 1
52, 2.82829, 3.36013, 1
53, 2.83443, 3.35498, 1
54, 2.7625, 3.35088, 1
55, 2.82675, 3.35968, 1
56, 2.82624, 3.35462, 1
57, 2.82557, 3.35293, 1
58, 2.83853, 3.35693, 1
59, 2.84672, 3.35037, 1
60, 2.84672, 3.35603, 1
61, 2.84262, 3.35098, 1
62, 3.07821, 3.34454, 1
63, 2.98822, 3.3487, 1
64, 3.09248, 3.36118, 1
65, 3.05219, 3.16592, 1
66, 3.01072, 3.36077, 1
67, 3.09139, 3.3591, 1
68, 3.04173, 3.1655, 1
69, 3.08016, 3.16816, 1
70, 3.07389, 3.16493, 1
71, 3.08874, 3.16032, 1
72, 3.0761, 3.16454, 1
73, 3.07274, 3.1703, 1
74, 3.07891, 3.16746, 1
75, 3.04528, 3.16618, 1
76, 3.02954, 3.35667, 1
77, 3.08838, 3.3488, 1
78, 3.01034, 3.16688, 1
79, 3.01875, 3.35574, 1
80, 3.06381, 3.34954, 1
81, 2.85286, 3.16707, 1
82, 3.08019, 3.34006, 1
83, 2.8431, 3.16368, 1
84, 3.02518, 3.35379, 1
85, 3.0751, 3.1744, 1
86, 2.8119, 3.16416, 1
87, 2.99626, 3.3505, 1
88, 3.09562, 3.35578, 1
89, 2.82214, 3.16826, 1
90, 2.75251, 3.34835, 1
